Image,SSIM_Input_Colour,PSNR_Input_Colour,SSIM_Bilateral_Gaussian,PSNR_Bilateral_Gaussian,SSIM_Flip_Bilateral_Gaussian,PSNR_Flip_Bilateral_Gaussian
pinterest_259871840976867058.jpg,0.9451759828616293,30.508959354896966,0.9110593294146637,30.020507097834145,0.9119882154615074,29.887725480057476
pinterest_259871840976964286.jpg,0.9340996647686665,30.429372173456393,0.8860051768260554,30.025569750329716,0.8986729419102586,30.513119960421655
pinterest_259871840976990511.jpg,0.9430431997614059,33.721190874121284,0.7164888732707407,31.60896925469693,0.7002373396420394,31.561224862180257
pinterest_259871840977044458.jpg,0.9412578012250359,29.601831731917727,0.8376616724716222,29.127777787239815,0.8383748760815273,28.940578123210624
pinterest_259871840977044478.jpg,0.9518023655428328,30.35652279743402,0.8772978537931317,29.89465622174546,0.8810511702774698,30.115625624752532
pinterest_259871840977050749.jpg,0.846934949566923,29.99460855361834,0.7753441785340632,29.450537430917972,0.7957342378991167,29.922706260674307
pinterest_259871840977050766.jpg,0.9492443823573627,29.01359043674534,0.822899011719998,29.465210632947397,0.8215181885093711,29.291278140745067
pinterest_259871840977073174.jpg,0.9050900607542801,29.09123091730357,0.8255611159003752,28.98466572752866,0.8118232393356951,28.931529590076238
pinterest_259871840977096611.jpg,0.9394959957414323,31.116976342526993,0.8774344746475092,30.460409734036382,0.870878161375307,30.416016050505693
pinterest_259871840977134148.jpg,0.9542982410169335,29.989391110218058,0.9239046219988364,29.930430796484522,0.9235634091716381,29.899482550023894
pinterest_259871840977143465.jpg,0.9327560054143872,30.62777500512537,0.9128011727988535,30.077324166560512,0.9028632149551586,29.171253315243987
pinterest_259871840977143501.jpg,0.9176340915357537,28.990713421980445,0.9047562108139311,28.977501117571947,0.9369705948898296,31.00155497887135
pinterest_259871840977143638.jpg,0.9295636707487308,29.76367826655948,0.9187406199982068,29.62581744822402,0.9043675136314197,29.096545342645385
pinterest_259871840977143640.jpg,0.9270686730106271,28.336354753220014,0.8679205293648232,28.414593761221496,0.8036081029301326,28.00307920339322
pinterest_259871840977338459.jpg,0.9552890386377598,30.683381832248088,0.9205997943795038,30.303514331875,0.9126645484505044,30.021634692997836
pinterest_259871840977378211.jpg,0.9432934982238149,31.05225368756615,0.8503556795380719,30.50701354316237,0.8412454145900078,29.435570599924375
pinterest_259871840977397231.jpg,0.9491386243428966,29.16260388589414,0.883870608156719,28.98780672802244,0.8859241745387928,29.94515641449666
pinterest_259871840977398410.jpg,0.9202339702932955,29.20121783652626,0.8438370927863489,28.756415856927493,0.8441145489485152,29.123189391151428
pinterest_259871840977398413.jpg,0.9531765743434848,29.331537859779942,0.928203409811431,29.57692611656293,0.935805911269667,30.739024402453126
pinterest_259871840977398417.jpg,0.9565017026398935,31.180700681096376,0.861928353493905,30.018910397123243,0.8544236828948648,30.099911197039773
pinterest_259871840977398457.jpg,0.9661848585108546,30.508251028818584,0.8791492839167766,30.097463608017435,0.8707083369352238,29.737381593191927
pinterest_259871840977404001.jpg,0.9189949183600766,32.22250530983309,0.8423885512637616,31.053736064786225,0.8357539501812709,31.294997980876555
pinterest_259871840977404022.jpg,0.9411645487389473,30.077769473203404,0.8791207527571352,29.767558752405876,0.8788788202437807,30.212768780151045
pinterest_259871840977404889.jpg,0.95422341109721,29.864210668636222,0.8812369366216201,29.44425640132407,0.8850607134499345,29.310899817365264
pinterest_259871840977415138.jpg,0.8848872409682738,30.23253761575249,0.8538090882631918,30.03712162103154,0.8708152687002285,30.016065570818483
pinterest_259871840977428858.jpg,0.9088124737674533,31.12035041580542,0.8005777145618079,30.345767291746526,0.7986342505195586,30.486691877558968
pinterest_259871840977428864.jpg,0.9373218889090356,29.75624335414675,0.9019149889997716,29.62941198920158,0.8983906247315715,29.61334553392796
pinterest_259871840977428995.jpg,0.9290673874899694,30.24066170109512,0.8267357172780893,29.439017842120588,0.8285542339662095,29.380732153190653
pinterest_259871840977429120.jpg,0.9437057075991236,28.966152718237325,0.8800118505405324,28.831140489374544,0.8711675172633685,28.914310134070682
pinterest_259871840977429243.jpg,0.8970851404328695,27.908350025464227,0.7861346794843155,27.935419111526247,0.7741975334582655,27.912202533685573
pinterest_259871840977429925.jpg,0.9500573959510515,31.675962914830208,0.8643658106415568,31.172092752642413,0.8702645408889137,31.377369461669907
pinterest_259871840977438913.jpg,0.9209831416923763,28.77376024512,0.8507431290434296,29.629786680127662,0.8435613413594201,28.254742968997014
pinterest_259871840977445361.jpg,0.9002758613957168,31.13376455326085,0.7283324831341181,30.00020800122213,0.7486502239678297,30.30084824428172
pinterest_259871840977547786.jpg,0.9585451938429781,31.273311967786086,0.8728773374945442,30.64726913690683,0.870204001553665,30.508824288314145
pinterest_259871840977549321.jpg,0.9691359269272682,31.308872030744478,0.950667150269702,31.195709252158288,0.9511867006625669,30.660231827741363
pinterest_259871840977576675.png,0.9165997285383115,28.979470586911226,0.8123262754893407,28.86731276725761,0.815924357076311,28.90945262695849
pinterest_259871840977576796.jpg,0.929465763289831,28.706306343807096,0.8494781213672608,28.58904922144616,0.8135422539601377,27.974958520254624
pinterest_259871840977622017.jpg,0.9547376238661681,31.36685822521912,0.8404347544768195,29.66795333651423,0.8193735628956432,29.42749684795704
pinterest_259871840977622038.jpg,0.9391305142918132,30.278612400791026,0.8745829709982961,29.61448741217056,0.8746297955318892,29.7280654380544
pinterest_259871840977670193.jpg,0.9184679429828444,29.751773897074806,0.8270909973682107,29.170138961596727,0.8362717709052033,29.209387003891223
pinterest_259871840977670206.jpg,0.9008531224128395,30.81426630317504,0.8798372740015322,30.785935594889597,0.879170670464203,30.67877608040813
pinterest_259871840977672157.jpg,0.9666849534274217,29.61313155347152,0.8941523881701703,29.29623819417108,0.8912719565366202,29.299966721533558
pinterest_259871840977677927.jpg,0.9146358855366125,29.210121652698817,0.8436412017588043,28.850053539269936,0.8247667719656072,28.543558425475787
pinterest_259871840977679716.jpg,0.9672656819059786,31.916825499835234,0.8749681778256541,30.197852294351325,0.8606386454304769,29.815681436654163
pinterest_259871840977682674.jpg,0.8383770609611038,29.481307773515255,0.7588361171625276,29.243880482816177,0.7656502477692687,29.27149691958207
pinterest_259871840977682677.jpg,0.9483687162812519,32.200316354286095,0.9057035790075076,30.205525844821643,0.9017305897374684,30.424034060207514
pinterest_259871840977682686.jpg,0.9506625197879428,28.935773807641667,0.8909135544439137,28.803056582798362,0.8911055588616564,28.636491318513905
pinterest_259871840977682692.jpg,0.9238435662047676,30.32453285291703,0.8974713323219262,30.057498001219326,0.8742429503959185,29.88389798201098
pinterest_259871840977682704.jpg,0.9498813593040124,30.30438134113469,0.6834594429434607,29.379342248777,0.6719718460518754,29.27677693587491
pinterest_259871840977682712.jpg,0.9575302422361179,31.669717783209805,0.9101406718261549,30.687619759844154,0.896695947776973,29.334979700565093
pinterest_259871840977721948.jpg,0.9459803473376814,29.76492352020856,0.877907983900278,29.419601529954434,0.8823172970062966,29.829201004853307
pinterest_259871840977740852.jpg,0.9385911836575015,28.55774303848326,0.8597748458479649,28.479059023156637,0.8565799853623668,28.520000136425224
pinterest_259871840977774645.jpg,0.9021404164587925,29.98537828500972,0.8375232420472928,29.636008359999167,0.8530396875974575,30.083947531184517
pinterest_259871840977803494.jpg,0.9409344931159856,29.58982198630309,0.7569232893650059,28.780959726332732,0.7428640413232991,28.682512607109754
pinterest_259871840977803497.jpg,0.9507280548012336,30.0784978213767,0.9072349636624142,29.93376681219673,0.9002309048781084,29.822811641745822
pinterest_259871840977810110.jpg,0.935813026866124,29.708791547183093,0.8391855052883729,29.181310928772174,0.8422286135744455,29.410897362681037
pinterest_259871840977810123.jpg,0.952640673227613,30.476701156823168,0.8229474167101642,29.485859019464847,0.8174182644013719,29.46927653675045
