Image,SSIM_Input_Colour,PSNR_Input_Colour,SSIM_Guided_Filter,PSNR_Guided_Filter,SSIM_Bilateral_Filter,PSNR_Bilateral_Filter,SSIM_Clahe_Filter,PSNR_Clahe_Filter
pinterest_259871840983544106.jpg,0.8759017031790165,27.591346866407505,0.7804372721601133,27.949054576040304,0.8751813938442572,27.594479737847244,0.7509691089566933,28.08170736453444
pinterest_259871840983545091.jpg,0.9560479176561794,31.23833095809632,0.8542226577289184,29.74662899479479,0.9489229820347083,31.266324475736347,0.8136346294309881,28.880431633400043
pinterest_259871840983555601.jpg,0.916031299085438,29.38457406780218,0.8297641456105088,29.130826110272174,0.9168954880003161,29.465863655305743,0.7542518536256813,28.61437264965582
pinterest_259871840983555605.jpg,0.9674833352183677,31.10448637054906,0.8173698895421531,29.96031821550947,0.9629118902620267,31.005046153827745,0.7879524493689644,28.592512135464332
pinterest_259871840983555608.jpg,0.9124464795938354,29.342950999369094,0.7991456651121075,29.24188719997418,0.908908634393017,29.377052361029733,0.7451709289977231,28.452132120826775
pinterest_259871840983555611.jpg,0.9742579785530019,30.503665353974046,0.8263874807414284,29.156392396175658,0.9704302625132358,30.205351809218595,0.7751242375703326,28.288003235545464
pinterest_259871840983555746.jpg,0.9137267815953756,29.523086636806024,0.8335270328494592,29.04303005160544,0.9133507334636413,29.522235439896267,0.8279907540777335,28.337794908607687
pinterest_259871840983555748.jpg,0.9659827276577334,30.914277632185595,0.8469006233397081,29.52821119263499,0.9660284679479952,30.88189687634863,0.7986047779462458,28.50443827737955
pinterest_259871840983558650.jpg,0.9338894082370855,29.5014106271705,0.8323822839423195,29.699343058136265,0.9315137607588887,29.52572924470148,0.7544916397236774,28.724268232548265
pinterest_259871840983558653.jpg,0.9700768273664657,29.834222967436336,0.8623457822023642,29.192969301077092,0.9699594746742864,29.825095337432895,0.8027434678056863,28.266036271494315
pinterest_259871840983608196.jpg,0.9351693729133023,30.113849891237848,0.8558258992013719,29.53028915044864,0.9341976014769671,30.07674984300032,0.7897583457015145,28.203820698452763
pinterest_259871840983608233.jpg,0.7905063816409444,29.04349184074139,0.7100070562721535,28.946182633756457,0.7459958160634831,29.047915272655068,0.7535782140141122,28.218629469262837
pinterest_259871840983608236.jpg,0.8925706955755901,29.87901996563503,0.7977128884064966,29.236856842027187,0.8919224944698055,29.8380503037021,0.6171495695561255,27.95355107675571
pinterest_259871840983768852.jpg,0.9408221648166037,29.6725816994058,0.8060839020949878,29.172147161266665,0.9388691372541155,29.67388278054972,0.7582411434295776,28.133578508798625
pinterest_259871840983833448.jpg,0.9437705859710835,29.48715953489637,0.8638187340439586,29.593985634576228,0.9382104188587811,29.242431319396054,0.7871539484661847,28.706734093044922
pinterest_259871840983833720.jpg,0.9725828996870381,29.520453880364933,0.829734113339002,29.573746072697027,0.9717278209207145,29.527800423740253,0.7634694842757733,28.327632977800867
pinterest_259871840983991148.jpg,0.9666589300779401,30.91240307540612,0.8338684707306662,29.71649629430032,0.9673971757120929,30.915602240726983,0.7713714267727819,28.22686902954291
pinterest_259871840983991445.jpg,0.9591668890605659,30.291108661608174,0.8335811240897814,29.342550423768987,0.9596711754855836,30.2635465727127,0.7851381951527033,28.35608414262895
pinterest_259871840984050002.jpg,0.9560964154657694,28.398449552524653,0.9031167209126073,28.237589286614547,0.9552036924602509,28.379536917971862,0.8622852314605339,28.389134591835056
pinterest_259871840984050004.jpg,0.9668498195609261,29.91508768968519,0.8934129403251188,28.927656270599673,0.9659157596691242,29.97577727000623,0.8500030096844879,28.76617290839901
pinterest_259871840984050007.jpg,0.9331087761319582,32.493629317119314,0.8552429480936944,31.175880372886688,0.9315986623062767,32.416919462023984,0.7143491784414934,28.484026562385317
pinterest_259871840984240038.jpg,0.9207329259086303,30.77222889045907,0.8337861884873187,29.713020629489172,0.9152265420095927,30.707095180396855,0.8132652150704412,28.63328744285452
pinterest_259871840984240046.jpg,0.9371198834786774,32.06955351178886,0.8571965051832384,30.889110428207157,0.935621571908361,32.04490369204326,0.7193794842179883,28.356606002791118
pinterest_259871840984240051.jpg,0.9462212075946189,30.34336481875886,0.8379312294130407,29.048402154831212,0.944543537054921,30.333185357257953,0.7830338767214049,28.35466333518506
pinterest_259871840984240189.jpg,0.9472822126806187,30.67504659744875,0.8432640012762338,29.807234802729482,0.9456711045156686,30.6171374657972,0.7753100103901134,28.251645706956907
pinterest_259871840984240202.jpg,0.9515594156972883,30.802277178913073,0.8833304550902734,30.019550922510735,0.9476578816146243,30.57865909269415,0.8122664937966612,28.66437932368591
pinterest_259871840984240241.jpg,0.9694228934100005,30.830360759073898,0.8843837186648558,30.09545833252583,0.9691782461855069,30.8046093512297,0.8257720302264288,28.26341477325841
pinterest_259871840984240291.jpg,0.9513336343657381,30.479925621314933,0.8388245899649832,29.435575347347328,0.949904996058173,30.404905870643574,0.7599154204360579,28.19732340126693
pinterest_259871840984240306.jpg,0.9553234776314458,31.71488155349218,0.8619206856818903,30.232646413192917,0.954895748944668,31.721117079411883,0.7370297914112435,28.05603781238328
pinterest_259871840984289000.jpg,0.8877650654599879,30.73651199041425,0.8067445417660316,29.391497156196003,0.8773423850512615,30.480008003627923,0.6502145096232163,27.96062561915256
